,distance_miles,hour,year,weekday,night,late_night,jfk,ewr,lgr,Suffolk,Rockland,Dutchess,Orange,Putnam,airport,county1,county2
13401,13.404052578664206,16,2014,1,1,0,1,0,0,0,0,0,0,0,1,1,0
8290,10.518216076907729,16,2012,6,0,0,0,0,0,0,0,0,0,0,0,1,0
8347,9.18699175454802,7,2013,4,0,0,1,0,0,0,0,0,0,0,1,1,0
12155,6.034918653294161,1,2014,4,0,1,0,0,1,0,0,0,0,0,1,1,0
12262,0.544662154988222,12,2010,6,0,0,0,0,0,0,0,0,0,0,0,1,0
1401,4.635287748359315,23,2013,2,0,1,0,0,1,0,0,0,0,0,1,1,0
890,3.6135858392819453,3,2010,4,0,1,0,0,0,0,0,0,0,0,0,1,0
4128,12.910210428815894,16,2015,6,0,0,1,0,0,0,0,0,0,0,1,1,0
6261,5.555077885861287,19,2009,2,1,0,0,0,1,0,0,0,0,0,1,1,0
12704,5.955963547079376,23,2011,3,0,1,0,0,1,0,0,0,0,0,1,1,0
12398,12.475558491887762,17,2010,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12675,6.880223590709023,23,2009,6,0,1,0,0,0,0,0,0,0,0,0,1,0
9908,1.4205307844072272,7,2014,6,0,0,0,0,0,0,0,0,0,0,0,1,0
8287,4.9070690477274574,21,2012,0,0,1,0,0,1,0,0,0,0,0,1,1,0
7730,7.814950313907723,6,2011,6,0,1,1,0,0,0,0,0,0,0,1,1,0
6258,9.448278978885172,3,2009,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7005,6.483516036339025,6,2009,5,0,1,0,0,1,0,0,0,0,0,1,1,0
6677,16.384981823532318,23,2010,6,0,1,1,0,0,0,0,0,0,0,1,1,0
4517,6.142636319144584,14,2009,3,0,0,0,0,1,0,0,0,0,0,1,1,0
554,5.954649989052387,15,2013,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2502,5.796045337844002,13,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
2694,12.365477115002946,16,2012,4,1,0,1,0,0,0,0,0,0,0,1,1,0
3365,5.629981091495837,23,2015,0,0,1,0,0,1,0,0,0,0,0,1,1,0
6070,2.3309634978747065,3,2015,3,0,1,0,0,0,0,0,0,0,0,0,1,0
10555,12.708988430799154,15,2014,2,0,0,1,0,0,0,0,0,0,0,1,1,0
1533,2.021387962498882,13,2012,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11814,7.011988391457113,4,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
3397,7.632600108208989,11,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
13740,8.525796144868059,7,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7152,11.666163119172667,6,2010,2,0,1,0,1,0,0,0,0,0,0,1,0,0
8021,5.381580389851532,18,2013,6,0,0,0,0,1,0,0,0,0,0,1,1,0
10260,9.839949778241937,14,2011,4,0,0,1,0,1,0,0,0,0,0,1,1,0
7972,6.592667002569998,22,2013,6,0,1,0,0,1,0,0,0,0,0,1,1,0
7910,6.074749409981684,8,2011,0,0,0,0,0,1,0,0,0,0,0,1,1,0
7463,5.730834775208758,13,2011,5,0,0,0,0,1,0,0,0,0,0,1,1,0
8345,10.115617181057926,0,2015,6,0,1,0,0,0,0,0,0,0,0,0,1,0
1048,3.4809137059535504,23,2011,0,0,1,0,0,1,0,0,0,0,0,1,1,0
6178,6.46016330726639,10,2010,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2588,3.2537781818263705,18,2009,2,1,0,0,0,0,0,0,0,0,0,0,1,0
7115,2.916881257135374,1,2010,1,0,1,0,0,0,0,0,0,0,0,0,1,0
809,11.910453559487145,15,2011,5,0,0,1,0,0,0,0,0,0,0,1,1,0
10292,12.757864345427745,21,2014,2,0,1,1,0,0,0,0,0,0,0,1,1,0
4514,6.3908097408790026,8,2015,0,0,0,0,0,1,0,0,0,0,0,1,1,0
4752,12.500396003572199,13,2012,4,0,0,1,0,0,0,0,0,0,0,1,1,0
5807,12.42570823969559,20,2010,4,1,1,1,0,0,0,0,0,0,0,1,1,0
10489,13.075859013905582,13,2012,6,0,0,1,0,0,0,0,0,0,0,1,1,0
8166,10.186285746211734,3,2009,3,0,1,0,0,0,0,0,0,0,0,0,1,0
4931,8.02534059780782,19,2009,3,1,0,0,0,0,0,0,0,0,0,0,1,0
11910,6.0156309499280445,15,2015,2,0,0,0,0,1,0,0,0,0,0,1,1,0
8562,5.881465949783667,14,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
8471,5.493745719524228,19,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
832,5.790406438713503,13,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
5196,10.181925733109788,1,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
7988,13.307143397960605,4,2015,4,0,1,1,0,0,0,0,0,0,0,1,1,0
11544,11.957770760231526,5,2014,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1387,5.609152493675245,18,2009,2,1,0,0,0,1,0,0,0,0,0,1,1,0
4503,6.409006362038713,12,2009,5,0,0,0,0,1,0,0,0,0,0,1,1,0
6751,6.0867129644170825,7,2013,3,0,0,1,0,0,0,0,0,0,0,1,1,0
10975,8.198745731006545,11,2013,3,0,0,0,0,1,0,0,0,0,0,1,1,0
6247,7.626175298413062,0,2012,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2645,5.796096299191738,16,2012,6,0,0,0,0,1,0,0,0,0,0,1,1,0
12437,9.814230290563216,16,2013,4,1,0,0,1,0,0,0,0,0,0,1,0,0
4736,6.211936559941916,3,2013,6,0,1,0,0,0,0,0,0,0,0,0,1,0
5004,2.836103382147748,10,2011,5,0,0,0,0,0,0,0,0,0,0,0,1,0
10670,6.054782240290845,16,2009,4,1,0,0,0,1,0,0,0,0,0,1,1,0
