,passenger_count,distance_miles,hour,year,weekday,night,late_night
6551,3,0.5300058949337442,19,2011,6,0,0
10255,1,1.2863956784107435,23,2010,4,0,1
7569,1,6.492599237559246,13,2014,0,0,0
3653,1,1.150325222291762,23,2012,3,0,1
3779,2,1.2077980437269369,15,2010,0,0,0
7662,3,0.8465143529062006,19,2014,4,1,0
8292,1,3.497695503588755,19,2009,5,0,0
434,5,1.727881327607501,21,2010,3,0,1
397,1,1.555211173573111,15,2013,5,0,0
3085,6,2.627973511798692,7,2013,1,0,0
13868,1,2.875195070688836,23,2009,3,0,1
7461,1,0.5511823107217327,17,2015,4,1,0
10698,2,1.8105757341041182,9,2010,6,0,0
10039,1,0.365761343217679,20,2009,1,1,1
10830,2,0.5686936201035006,7,2011,2,0,0
5024,1,1.2578999168413652,9,2014,1,0,0
705,1,0.8067256924144339,12,2012,2,0,0
11748,6,0.8663281545051547,13,2014,0,0,0
4208,1,0.7240706529954335,16,2010,4,1,0
12271,2,1.7743314744380672,14,2014,3,0,0
12788,1,0.9560009186727322,7,2014,3,0,0
9648,1,1.8729145446025597,13,2009,3,0,0
5270,1,3.324870032489438,7,2014,4,0,0
13847,2,3.2012556555054488,20,2015,0,1,1
5139,1,1.5291908644893097,9,2009,2,0,0
9848,2,1.1824743991358901,9,2013,2,0,0
12776,1,0.15096530069660785,21,2010,6,0,1
13084,1,4.308731320781603,20,2009,0,1,1
1098,2,2.4156396827717193,2,2012,6,0,1
9410,2,1.278546639656606,18,2009,5,0,0
6429,1,1.948754558262528,6,2009,4,0,1
6644,1,1.5630989789191772,17,2012,2,1,0
13531,3,1.0934708080919595,14,2009,4,0,0
12240,1,1.1290130160098217,9,2014,5,0,0
5665,1,1.5500921671332204,9,2011,4,0,0
2249,1,1.350084542942419,1,2014,2,0,1
5846,1,0.5395248576124805,22,2010,5,0,1
1294,1,0.5088507538858636,6,2014,1,0,1
3384,1,0.5913350970774682,7,2013,2,0,0
11059,1,2.1958501440227947,21,2015,2,0,1
4282,1,0.8738603045399355,11,2013,5,0,0
3009,1,2.23526281697913,14,2010,2,0,0
12051,1,2.3303506084262144,2,2010,5,0,1
3214,1,1.2840719509926823,14,2015,6,0,0
5682,1,0.60356150910606,0,2011,1,0,1
14750,1,1.122386330363713,11,2012,2,0,0
9667,1,2.5541008012738153,2,2014,0,0,1
2927,1,0.9147206482730089,20,2012,2,1,1
1037,1,1.594822654375522,2,2010,6,0,1
5200,1,1.6218399528283831,19,2015,5,0,0
9383,1,1.317317410649191,1,2011,0,0,1
1460,1,2.0428864172365895,21,2009,3,0,1
9000,1,0.9030525816185373,18,2014,4,1,0
3301,1,4.21538899589409,10,2012,2,0,0
1008,1,1.5306962396831374,13,2011,2,0,0
12121,5,1.9266779708570787,11,2013,1,0,0
8783,1,1.115948348449741,23,2013,1,0,1
6915,1,2.602143102664713,21,2015,2,0,1
10075,1,0.9471979369587012,9,2015,3,0,0
12552,2,1.1430862154028516,10,2013,5,0,0
11464,1,2.3062101160451163,20,2013,4,1,1
9355,1,1.4130765248408128,9,2009,3,0,0
3218,1,0.5994017242352389,22,2009,5,0,1
5955,5,0.41948498903648346,19,2013,1,1,0
8029,1,0.950115850949288,20,2014,3,1,1
1306,1,3.696433921724744,22,2013,2,0,1
623,1,1.0323037350475526,18,2009,3,1,0
10948,3,0.7024071561409273,22,2010,1,0,1
